State,District,Year,Month,Hour,Weather_Condition,Road_Type,Vehicle_Type,Cause_of_Accident,Accident_Severity
Madhya Pradesh,Hyderabad,2021,9,2,Foggy,State Highway,Bus,Overspeeding,Fatal
Andhra Pradesh,Jaipur,2019,4,11,Clear,Urban Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Telangana,Nagpur,2021,3,8,Rainy,Rural Road,Truck,Drunk Driving,Grievous Injury
Tamil Nadu,Bengaluru,2019,9,8,Foggy,Urban Road,Truck,Wrong Side Driving,Minor Injury
Tamil Nadu,Nagpur,2021,2,10,Cloudy,Rural Road,Two-Wheeler,Wrong Side Driving,Grievous Injury
Uttar Pradesh,Jaipur,2018,12,5,Rainy,National Highway,Auto Rickshaw,Wrong Side Driving,Minor Injury
Rajasthan,Jaipur,2017,9,1,Rainy,Rural Road,Car,Signal Jumping,Minor Injury
Kerala,Bengaluru,2020,11,6,Foggy,State Highway,Bus,Poor Road Condition,Minor Injury
Maharashtra,Jaipur,2017,10,8,Foggy,Rural Road,Two-Wheeler,Poor Road Condition,Fatal
Madhya Pradesh,Chennai,2017,11,18,Rainy,Urban Road,Two-Wheeler,Wrong Side Driving,Minor Injury
Telangana,Pune,2018,11,17,Foggy,National Highway,Truck,Signal Jumping,Minor Injury
Andhra Pradesh,Kochi,2017,2,11,Clear,State Highway,Bus,Drunk Driving,Grievous Injury
Rajasthan,Bengaluru,2017,11,20,Clear,National Highway,Two-Wheeler,Overspeeding,Minor Injury
Uttar Pradesh,Jaipur,2018,10,10,Foggy,State Highway,Truck,Mechanical Failure,Minor Injury
Madhya Pradesh,Mumbai,2019,3,9,Rainy,State Highway,Truck,Poor Road Condition,Minor Injury
Rajasthan,Mumbai,2021,7,22,Foggy,National Highway,Auto Rickshaw,Overspeeding,Minor Injury
Madhya Pradesh,Pune,2022,2,2,Cloudy,National Highway,Truck,Mechanical Failure,Minor Injury
Maharashtra,Mumbai,2017,1,11,Clear,Rural Road,Car,Poor Road Condition,Minor Injury
Maharashtra,Kochi,2020,9,3,Rainy,Rural Road,Auto Rickshaw,Drunk Driving,Minor Injury
Kerala,Ahmedabad,2018,6,9,Cloudy,State Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Tamil Nadu,Ahmedabad,2023,9,1,Foggy,Rural Road,Car,Wrong Side Driving,Minor Injury
Karnataka,Ahmedabad,2023,12,11,Clear,Rural Road,Car,Signal Jumping,Minor Injury
Karnataka,Pune,2017,3,10,Cloudy,State Highway,Two-Wheeler,Mechanical Failure,Grievous Injury
Madhya Pradesh,Pune,2022,3,13,Rainy,Rural Road,Two-Wheeler,Poor Road Condition,Minor Injury
Kerala,Kochi,2019,10,14,Clear,National Highway,Car,Wrong Side Driving,Minor Injury
Karnataka,Bengaluru,2019,12,13,Foggy,Urban Road,Two-Wheeler,Mechanical Failure,Grievous Injury
Uttar Pradesh,Hyderabad,2022,3,11,Foggy,National Highway,Car,Mechanical Failure,Minor Injury
Karnataka,Ahmedabad,2020,2,1,Clear,Urban Road,Car,Poor Road Condition,Minor Injury
Gujarat,Mumbai,2017,11,22,Cloudy,National Highway,Truck,Wrong Side Driving,Minor Injury
Andhra Pradesh,Nagpur,2020,6,1,Clear,Urban Road,Two-Wheeler,Overspeeding,Minor Injury
Kerala,Hyderabad,2019,3,0,Clear,Urban Road,Auto Rickshaw,Overspeeding,Fatal
Uttar Pradesh,Kochi,2023,5,19,Clear,Rural Road,Auto Rickshaw,Poor Road Condition,Fatal
Rajasthan,Bengaluru,2019,11,14,Cloudy,State Highway,Two-Wheeler,Poor Road Condition,Grievous Injury
Uttar Pradesh,Mumbai,2021,5,21,Clear,National Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Tamil Nadu,Jaipur,2019,10,9,Rainy,Rural Road,Two-Wheeler,Drunk Driving,Minor Injury
Rajasthan,Bengaluru,2018,3,19,Foggy,National Highway,Two-Wheeler,Signal Jumping,Minor Injury
Telangana,Ahmedabad,2021,3,0,Cloudy,National Highway,Truck,Overspeeding,Fatal
Andhra Pradesh,Ahmedabad,2020,1,0,Rainy,Urban Road,Car,Wrong Side Driving,Grievous Injury
Andhra Pradesh,Jaipur,2019,6,0,Clear,Urban Road,Two-Wheeler,Mechanical Failure,Grievous Injury
Andhra Pradesh,Kochi,2022,3,22,Rainy,State Highway,Two-Wheeler,Signal Jumping,Minor Injury
Andhra Pradesh,Bhopal,2018,1,10,Cloudy,Urban Road,Car,Poor Road Condition,Minor Injury
Madhya Pradesh,Bengaluru,2021,10,11,Foggy,National Highway,Car,Signal Jumping,Minor Injury
Andhra Pradesh,Jaipur,2018,9,14,Cloudy,Urban Road,Car,Mechanical Failure,Minor Injury
Andhra Pradesh,Kochi,2021,11,13,Clear,Rural Road,Bus,Signal Jumping,Grievous Injury
Andhra Pradesh,Kochi,2021,1,22,Clear,Rural Road,Auto Rickshaw,Drunk Driving,Fatal
Kerala,Pune,2021,5,0,Foggy,Urban Road,Two-Wheeler,Mechanical Failure,Minor Injury
Madhya Pradesh,Bengaluru,2022,5,0,Cloudy,State Highway,Truck,Poor Road Condition,Fatal
Maharashtra,Mumbai,2020,2,5,Cloudy,Urban Road,Truck,Signal Jumping,Fatal
Uttar Pradesh,Bhopal,2021,1,23,Cloudy,Rural Road,Car,Signal Jumping,Fatal
Uttar Pradesh,Chennai,2021,6,22,Rainy,National Highway,Truck,Poor Road Condition,Grievous Injury
Rajasthan,Nagpur,2018,7,21,Foggy,National Highway,Auto Rickshaw,Overspeeding,Fatal
Kerala,Bengaluru,2021,11,2,Cloudy,National Highway,Two-Wheeler,Signal Jumping,Minor Injury
Gujarat,Hyderabad,2020,11,13,Foggy,Rural Road,Truck,Signal Jumping,Minor Injury
Uttar Pradesh,Kochi,2023,9,22,Rainy,Rural Road,Auto Rickshaw,Overspeeding,Minor Injury
Karnataka,Pune,2022,8,5,Cloudy,National Highway,Auto Rickshaw,Mechanical Failure,Minor Injury
Gujarat,Jaipur,2022,10,7,Rainy,State Highway,Bus,Overspeeding,Fatal
Andhra Pradesh,Ahmedabad,2018,3,19,Clear,State Highway,Bus,Wrong Side Driving,Grievous Injury
Andhra Pradesh,Jaipur,2023,9,14,Clear,National Highway,Truck,Wrong Side Driving,Minor Injury
Madhya Pradesh,Jaipur,2021,1,16,Clear,National Highway,Auto Rickshaw,Drunk Driving,Fatal
Gujarat,Bhopal,2018,6,22,Foggy,Rural Road,Car,Signal Jumping,Minor Injury
Karnataka,Bengaluru,2022,10,8,Cloudy,Urban Road,Bus,Poor Road Condition,Minor Injury
Madhya Pradesh,Jaipur,2020,2,15,Cloudy,Rural Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Rajasthan,Bhopal,2018,10,0,Rainy,Urban Road,Bus,Mechanical Failure,Minor Injury
Gujarat,Chennai,2020,9,15,Rainy,Urban Road,Two-Wheeler,Mechanical Failure,Minor Injury
Kerala,Mumbai,2023,9,18,Clear,Urban Road,Auto Rickshaw,Poor Road Condition,Grievous Injury
Andhra Pradesh,Chennai,2023,8,22,Foggy,Urban Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Andhra Pradesh,Bengaluru,2019,11,8,Foggy,National Highway,Two-Wheeler,Overspeeding,Fatal
Tamil Nadu,Ahmedabad,2021,7,16,Rainy,Urban Road,Bus,Poor Road Condition,Grievous Injury
Madhya Pradesh,Chennai,2020,6,5,Rainy,Urban Road,Two-Wheeler,Drunk Driving,Minor Injury
Maharashtra,Bhopal,2021,2,13,Cloudy,Urban Road,Truck,Overspeeding,Grievous Injury
Maharashtra,Bhopal,2023,4,17,Cloudy,Rural Road,Car,Drunk Driving,Minor Injury
Madhya Pradesh,Nagpur,2020,10,20,Rainy,Rural Road,Bus,Poor Road Condition,Minor Injury
Kerala,Kochi,2017,7,13,Cloudy,Rural Road,Auto Rickshaw,Wrong Side Driving,Grievous Injury
Telangana,Hyderabad,2023,6,22,Rainy,State Highway,Truck,Overspeeding,Fatal
Madhya Pradesh,Hyderabad,2017,9,6,Foggy,Rural Road,Bus,Wrong Side Driving,Fatal
Kerala,Bengaluru,2017,5,9,Clear,State Highway,Car,Drunk Driving,Minor Injury
Rajasthan,Kochi,2023,12,15,Rainy,Rural Road,Auto Rickshaw,Mechanical Failure,Grievous Injury
Andhra Pradesh,Nagpur,2020,12,6,Rainy,State Highway,Two-Wheeler,Poor Road Condition,Grievous Injury
Karnataka,Pune,2022,6,19,Cloudy,Rural Road,Car,Overspeeding,Grievous Injury
Telangana,Jaipur,2022,10,5,Rainy,National Highway,Bus,Wrong Side Driving,Minor Injury
Gujarat,Chennai,2021,6,5,Foggy,Rural Road,Auto Rickshaw,Drunk Driving,Minor Injury
Telangana,Kochi,2017,8,6,Clear,State Highway,Bus,Mechanical Failure,Minor Injury
Karnataka,Jaipur,2021,8,21,Cloudy,Urban Road,Car,Overspeeding,Fatal
Tamil Nadu,Pune,2020,6,16,Foggy,Rural Road,Auto Rickshaw,Drunk Driving,Minor Injury
Andhra Pradesh,Ahmedabad,2021,8,7,Clear,Urban Road,Car,Overspeeding,Minor Injury
Maharashtra,Nagpur,2021,7,1,Cloudy,Urban Road,Bus,Overspeeding,Fatal
Kerala,Jaipur,2017,1,18,Foggy,Rural Road,Auto Rickshaw,Signal Jumping,Grievous Injury
Madhya Pradesh,Nagpur,2023,5,20,Rainy,Rural Road,Auto Rickshaw,Wrong Side Driving,Fatal
Madhya Pradesh,Nagpur,2022,11,21,Cloudy,National Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Maharashtra,Kochi,2018,10,6,Rainy,State Highway,Bus,Overspeeding,Minor Injury
Telangana,Bhopal,2019,10,11,Cloudy,Rural Road,Truck,Drunk Driving,Grievous Injury
Andhra Pradesh,Mumbai,2020,10,19,Clear,State Highway,Bus,Wrong Side Driving,Grievous Injury
Uttar Pradesh,Bengaluru,2020,5,2,Cloudy,Rural Road,Two-Wheeler,Drunk Driving,Minor Injury
Kerala,Hyderabad,2020,10,3,Cloudy,Urban Road,Truck,Drunk Driving,Minor Injury
Rajasthan,Nagpur,2019,9,10,Foggy,Urban Road,Bus,Poor Road Condition,Grievous Injury
Karnataka,Kochi,2018,7,11,Cloudy,Rural Road,Two-Wheeler,Mechanical Failure,Grievous Injury
Telangana,Kochi,2022,7,18,Clear,State Highway,Car,Overspeeding,Grievous Injury
Gujarat,Jaipur,2021,10,18,Foggy,State Highway,Two-Wheeler,Drunk Driving,Grievous Injury
Tamil Nadu,Jaipur,2022,2,10,Rainy,Urban Road,Auto Rickshaw,Overspeeding,Minor Injury
Madhya Pradesh,Chennai,2020,8,12,Cloudy,State Highway,Truck,Signal Jumping,Grievous Injury
Telangana,Nagpur,2021,3,23,Clear,State Highway,Bus,Poor Road Condition,Grievous Injury
Tamil Nadu,Mumbai,2017,9,0,Clear,National Highway,Bus,Poor Road Condition,Minor Injury
Karnataka,Bengaluru,2022,6,5,Cloudy,Urban Road,Auto Rickshaw,Signal Jumping,Minor Injury
Madhya Pradesh,Bengaluru,2017,9,21,Cloudy,State Highway,Truck,Drunk Driving,Minor Injury
Madhya Pradesh,Ahmedabad,2017,9,15,Rainy,National Highway,Truck,Poor Road Condition,Minor Injury
Uttar Pradesh,Ahmedabad,2023,7,1,Rainy,Rural Road,Auto Rickshaw,Overspeeding,Minor Injury
Telangana,Chennai,2022,10,13,Rainy,National Highway,Truck,Mechanical Failure,Minor Injury
Andhra Pradesh,Hyderabad,2020,12,23,Rainy,National Highway,Auto Rickshaw,Wrong Side Driving,Minor Injury
Maharashtra,Ahmedabad,2019,8,22,Rainy,National Highway,Two-Wheeler,Signal Jumping,Fatal
Maharashtra,Pune,2020,2,17,Rainy,National Highway,Auto Rickshaw,Signal Jumping,Fatal
Rajasthan,Chennai,2017,5,16,Foggy,National Highway,Bus,Mechanical Failure,Fatal
Gujarat,Bengaluru,2017,3,19,Foggy,National Highway,Car,Drunk Driving,Minor Injury
Tamil Nadu,Bengaluru,2020,1,17,Clear,Rural Road,Two-Wheeler,Signal Jumping,Minor Injury
Telangana,Mumbai,2019,6,18,Foggy,Rural Road,Bus,Signal Jumping,Fatal
Kerala,Kochi,2019,12,14,Cloudy,Urban Road,Two-Wheeler,Wrong Side Driving,Grievous Injury
Gujarat,Pune,2023,9,1,Cloudy,Urban Road,Bus,Mechanical Failure,Grievous Injury
Uttar Pradesh,Hyderabad,2021,2,3,Cloudy,Rural Road,Truck,Mechanical Failure,Minor Injury
Madhya Pradesh,Jaipur,2018,9,0,Clear,Rural Road,Auto Rickshaw,Overspeeding,Minor Injury
Andhra Pradesh,Chennai,2017,8,7,Foggy,Urban Road,Bus,Mechanical Failure,Minor Injury
Telangana,Ahmedabad,2019,11,19,Cloudy,National Highway,Bus,Poor Road Condition,Grievous Injury
Gujarat,Bhopal,2022,9,13,Foggy,State Highway,Truck,Wrong Side Driving,Fatal
Gujarat,Mumbai,2023,5,10,Cloudy,National Highway,Car,Poor Road Condition,Grievous Injury
Andhra Pradesh,Bengaluru,2017,2,23,Rainy,Rural Road,Car,Mechanical Failure,Grievous Injury
Rajasthan,Bhopal,2018,10,23,Foggy,Urban Road,Auto Rickshaw,Overspeeding,Grievous Injury
Tamil Nadu,Chennai,2022,10,13,Foggy,Urban Road,Truck,Wrong Side Driving,Minor Injury
Tamil Nadu,Nagpur,2017,6,15,Cloudy,National Highway,Two-Wheeler,Signal Jumping,Minor Injury
Gujarat,Hyderabad,2023,7,9,Foggy,Urban Road,Bus,Drunk Driving,Grievous Injury
Karnataka,Nagpur,2023,3,6,Rainy,Rural Road,Auto Rickshaw,Signal Jumping,Fatal
Gujarat,Chennai,2019,6,15,Cloudy,Rural Road,Car,Overspeeding,Minor Injury
Gujarat,Nagpur,2021,6,3,Rainy,State Highway,Two-Wheeler,Wrong Side Driving,Minor Injury
Andhra Pradesh,Hyderabad,2020,8,11,Cloudy,Rural Road,Truck,Signal Jumping,Minor Injury
Madhya Pradesh,Kochi,2023,1,11,Foggy,State Highway,Bus,Overspeeding,Fatal
Andhra Pradesh,Chennai,2022,4,1,Cloudy,State Highway,Bus,Poor Road Condition,Minor Injury
Telangana,Bhopal,2020,1,5,Clear,National Highway,Car,Signal Jumping,Grievous Injury
Gujarat,Nagpur,2019,8,19,Cloudy,Urban Road,Car,Drunk Driving,Grievous Injury
Tamil Nadu,Hyderabad,2019,2,14,Foggy,Rural Road,Auto Rickshaw,Poor Road Condition,Grievous Injury
Kerala,Ahmedabad,2022,8,14,Rainy,Urban Road,Bus,Signal Jumping,Minor Injury
Tamil Nadu,Jaipur,2018,3,21,Rainy,State Highway,Bus,Signal Jumping,Minor Injury
Maharashtra,Hyderabad,2023,8,15,Clear,Rural Road,Bus,Signal Jumping,Minor Injury
Rajasthan,Mumbai,2022,6,23,Cloudy,Urban Road,Bus,Overspeeding,Grievous Injury
Uttar Pradesh,Jaipur,2017,1,2,Cloudy,Rural Road,Two-Wheeler,Wrong Side Driving,Grievous Injury
Telangana,Ahmedabad,2018,7,0,Rainy,National Highway,Truck,Mechanical Failure,Grievous Injury
Telangana,Pune,2020,7,20,Rainy,Rural Road,Two-Wheeler,Overspeeding,Minor Injury
Rajasthan,Bhopal,2017,6,11,Foggy,State Highway,Truck,Poor Road Condition,Grievous Injury
Kerala,Bengaluru,2018,1,14,Clear,Rural Road,Two-Wheeler,Mechanical Failure,Grievous Injury
Uttar Pradesh,Ahmedabad,2020,5,18,Rainy,National Highway,Auto Rickshaw,Poor Road Condition,Minor Injury
Madhya Pradesh,Kochi,2017,1,5,Cloudy,National Highway,Truck,Mechanical Failure,Fatal
Gujarat,Jaipur,2021,1,18,Rainy,Urban Road,Bus,Signal Jumping,Grievous Injury
Uttar Pradesh,Kochi,2023,6,16,Foggy,National Highway,Truck,Poor Road Condition,Grievous Injury
Kerala,Jaipur,2022,8,8,Cloudy,State Highway,Bus,Drunk Driving,Grievous Injury
Karnataka,Mumbai,2022,1,20,Foggy,National Highway,Auto Rickshaw,Mechanical Failure,Grievous Injury
Maharashtra,Pune,2022,2,12,Foggy,Urban Road,Truck,Poor Road Condition,Minor Injury
Uttar Pradesh,Bengaluru,2021,5,14,Foggy,National Highway,Car,Poor Road Condition,Minor Injury
Uttar Pradesh,Mumbai,2023,8,15,Clear,National Highway,Bus,Mechanical Failure,Grievous Injury
Maharashtra,Ahmedabad,2018,11,12,Cloudy,Rural Road,Truck,Signal Jumping,Minor Injury
Gujarat,Kochi,2023,4,1,Cloudy,Urban Road,Two-Wheeler,Drunk Driving,Fatal
Uttar Pradesh,Jaipur,2019,5,1,Foggy,Rural Road,Truck,Signal Jumping,Minor Injury
Maharashtra,Ahmedabad,2017,10,10,Clear,Urban Road,Bus,Mechanical Failure,Minor Injury
Maharashtra,Hyderabad,2018,5,15,Rainy,Urban Road,Car,Poor Road Condition,Minor Injury
Maharashtra,Pune,2019,3,16,Cloudy,Urban Road,Car,Overspeeding,Fatal
Andhra Pradesh,Bhopal,2022,6,2,Rainy,Urban Road,Two-Wheeler,Poor Road Condition,Minor Injury
Kerala,Hyderabad,2022,5,22,Cloudy,Urban Road,Auto Rickshaw,Mechanical Failure,Fatal
Andhra Pradesh,Kochi,2022,2,0,Foggy,Urban Road,Car,Overspeeding,Grievous Injury
Karnataka,Pune,2019,10,17,Cloudy,National Highway,Auto Rickshaw,Wrong Side Driving,Minor Injury
Madhya Pradesh,Pune,2017,4,13,Foggy,National Highway,Bus,Drunk Driving,Minor Injury
Andhra Pradesh,Ahmedabad,2017,11,21,Cloudy,National Highway,Truck,Poor Road Condition,Minor Injury
Andhra Pradesh,Hyderabad,2019,4,8,Foggy,State Highway,Auto Rickshaw,Wrong Side Driving,Minor Injury
Kerala,Ahmedabad,2020,7,8,Rainy,Urban Road,Bus,Signal Jumping,Fatal
Madhya Pradesh,Ahmedabad,2022,7,11,Rainy,National Highway,Bus,Mechanical Failure,Grievous Injury
Rajasthan,Ahmedabad,2018,9,23,Rainy,Urban Road,Bus,Wrong Side Driving,Minor Injury
Maharashtra,Kochi,2017,10,2,Cloudy,Rural Road,Two-Wheeler,Drunk Driving,Minor Injury
Telangana,Jaipur,2023,12,1,Clear,State Highway,Two-Wheeler,Overspeeding,Fatal
Madhya Pradesh,Jaipur,2019,2,0,Rainy,Urban Road,Auto Rickshaw,Overspeeding,Minor Injury
Karnataka,Kochi,2020,6,8,Cloudy,National Highway,Bus,Signal Jumping,Grievous Injury
Gujarat,Bengaluru,2021,2,12,Foggy,State Highway,Auto Rickshaw,Signal Jumping,Grievous Injury
Karnataka,Bhopal,2019,9,20,Clear,Rural Road,Car,Mechanical Failure,Minor Injury
Maharashtra,Mumbai,2023,2,15,Clear,Urban Road,Auto Rickshaw,Wrong Side Driving,Fatal
Madhya Pradesh,Bhopal,2020,6,18,Clear,State Highway,Truck,Mechanical Failure,Minor Injury
Karnataka,Kochi,2021,8,9,Rainy,Urban Road,Bus,Overspeeding,Minor Injury
Karnataka,Nagpur,2020,6,4,Rainy,State Highway,Auto Rickshaw,Overspeeding,Fatal
Rajasthan,Mumbai,2017,12,13,Rainy,National Highway,Two-Wheeler,Poor Road Condition,Grievous Injury
Rajasthan,Bengaluru,2019,3,14,Rainy,Urban Road,Truck,Wrong Side Driving,Minor Injury
Madhya Pradesh,Chennai,2023,5,2,Foggy,Urban Road,Auto Rickshaw,Mechanical Failure,Minor Injury
Maharashtra,Mumbai,2021,4,8,Cloudy,Urban Road,Auto Rickshaw,Signal Jumping,Grievous Injury
Andhra Pradesh,Pune,2020,1,0,Clear,National Highway,Auto Rickshaw,Wrong Side Driving,Minor Injury
Tamil Nadu,Kochi,2021,5,0,Cloudy,State Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Uttar Pradesh,Chennai,2018,10,18,Clear,National Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Telangana,Bhopal,2023,12,5,Clear,Rural Road,Car,Wrong Side Driving,Minor Injury
Uttar Pradesh,Chennai,2019,5,10,Clear,Rural Road,Car,Signal Jumping,Minor Injury
Kerala,Kochi,2017,7,17,Clear,Rural Road,Car,Drunk Driving,Grievous Injury
Rajasthan,Bhopal,2021,12,13,Foggy,State Highway,Auto Rickshaw,Overspeeding,Minor Injury
Madhya Pradesh,Kochi,2022,7,15,Foggy,Urban Road,Truck,Poor Road Condition,Grievous Injury
Uttar Pradesh,Hyderabad,2020,2,0,Clear,State Highway,Two-Wheeler,Wrong Side Driving,Minor Injury
Maharashtra,Nagpur,2022,4,23,Clear,Rural Road,Car,Poor Road Condition,Minor Injury
Telangana,Bengaluru,2021,1,9,Rainy,State Highway,Car,Drunk Driving,Minor Injury
Uttar Pradesh,Bengaluru,2023,5,9,Clear,Urban Road,Truck,Wrong Side Driving,Minor Injury
Telangana,Pune,2022,5,12,Cloudy,Urban Road,Car,Overspeeding,Minor Injury
Gujarat,Nagpur,2020,4,0,Foggy,State Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Maharashtra,Nagpur,2021,10,2,Cloudy,Rural Road,Truck,Overspeeding,Grievous Injury
Tamil Nadu,Pune,2017,12,13,Rainy,Urban Road,Bus,Signal Jumping,Minor Injury
Karnataka,Bhopal,2017,12,20,Foggy,Rural Road,Two-Wheeler,Poor Road Condition,Minor Injury
Telangana,Pune,2019,7,15,Rainy,Urban Road,Two-Wheeler,Overspeeding,Minor Injury
Maharashtra,Bhopal,2017,6,22,Rainy,Rural Road,Auto Rickshaw,Poor Road Condition,Fatal
Telangana,Pune,2021,10,19,Cloudy,State Highway,Bus,Poor Road Condition,Grievous Injury
Telangana,Mumbai,2023,3,5,Clear,National Highway,Bus,Overspeeding,Minor Injury
Andhra Pradesh,Mumbai,2021,2,0,Foggy,National Highway,Truck,Overspeeding,Minor Injury
Andhra Pradesh,Hyderabad,2017,4,19,Foggy,Rural Road,Car,Mechanical Failure,Grievous Injury
Maharashtra,Jaipur,2018,9,23,Clear,Urban Road,Bus,Mechanical Failure,Minor Injury
Andhra Pradesh,Pune,2021,10,4,Cloudy,State Highway,Truck,Overspeeding,Grievous Injury
Kerala,Nagpur,2019,5,7,Rainy,Urban Road,Bus,Poor Road Condition,Grievous Injury
Tamil Nadu,Mumbai,2018,1,11,Cloudy,National Highway,Two-Wheeler,Poor Road Condition,Grievous Injury
Madhya Pradesh,Ahmedabad,2017,11,0,Rainy,National Highway,Bus,Mechanical Failure,Minor Injury
Maharashtra,Bhopal,2023,3,12,Foggy,State Highway,Car,Wrong Side Driving,Minor Injury
Maharashtra,Mumbai,2020,9,8,Clear,Rural Road,Truck,Poor Road Condition,Minor Injury
Kerala,Mumbai,2021,7,19,Clear,State Highway,Car,Drunk Driving,Grievous Injury
Rajasthan,Kochi,2020,3,23,Foggy,National Highway,Auto Rickshaw,Drunk Driving,Minor Injury
Rajasthan,Bhopal,2022,1,7,Rainy,State Highway,Car,Mechanical Failure,Fatal
Andhra Pradesh,Bengaluru,2019,4,12,Cloudy,National Highway,Car,Drunk Driving,Fatal
Madhya Pradesh,Chennai,2018,9,1,Rainy,Urban Road,Truck,Mechanical Failure,Grievous Injury
Andhra Pradesh,Bhopal,2020,12,14,Clear,National Highway,Two-Wheeler,Signal Jumping,Minor Injury
Gujarat,Hyderabad,2019,7,13,Cloudy,National Highway,Bus,Poor Road Condition,Minor Injury
Gujarat,Kochi,2020,5,18,Cloudy,State Highway,Bus,Overspeeding,Minor Injury
Karnataka,Bhopal,2020,11,8,Rainy,State Highway,Truck,Drunk Driving,Minor Injury
Gujarat,Bhopal,2019,6,18,Rainy,State Highway,Truck,Overspeeding,Fatal
Rajasthan,Jaipur,2021,1,13,Rainy,Urban Road,Two-Wheeler,Drunk Driving,Minor Injury
Tamil Nadu,Kochi,2020,7,7,Cloudy,State Highway,Two-Wheeler,Wrong Side Driving,Minor Injury
Gujarat,Bhopal,2019,12,4,Foggy,Urban Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Andhra Pradesh,Chennai,2020,5,6,Cloudy,Rural Road,Bus,Mechanical Failure,Minor Injury
Telangana,Chennai,2023,7,3,Clear,State Highway,Bus,Overspeeding,Minor Injury
Maharashtra,Ahmedabad,2021,5,7,Foggy,State Highway,Auto Rickshaw,Mechanical Failure,Minor Injury
Tamil Nadu,Kochi,2023,5,3,Foggy,Rural Road,Truck,Signal Jumping,Grievous Injury
Tamil Nadu,Bengaluru,2023,3,20,Rainy,Rural Road,Bus,Mechanical Failure,Grievous Injury
Andhra Pradesh,Bhopal,2019,5,0,Cloudy,Rural Road,Car,Poor Road Condition,Minor Injury
Maharashtra,Jaipur,2023,8,7,Clear,National Highway,Truck,Poor Road Condition,Minor Injury
Rajasthan,Jaipur,2020,8,6,Cloudy,National Highway,Truck,Mechanical Failure,Grievous Injury
Tamil Nadu,Nagpur,2017,2,10,Rainy,National Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Karnataka,Bengaluru,2021,11,20,Cloudy,Rural Road,Auto Rickshaw,Drunk Driving,Minor Injury
Andhra Pradesh,Jaipur,2020,1,15,Clear,Urban Road,Truck,Drunk Driving,Grievous Injury
Tamil Nadu,Chennai,2018,2,21,Rainy,State Highway,Two-Wheeler,Signal Jumping,Grievous Injury
Madhya Pradesh,Nagpur,2019,11,16,Cloudy,National Highway,Car,Overspeeding,Fatal
Maharashtra,Pune,2020,7,23,Clear,Rural Road,Car,Wrong Side Driving,Grievous Injury
Gujarat,Jaipur,2021,3,4,Clear,State Highway,Bus,Overspeeding,Fatal
Tamil Nadu,Hyderabad,2023,8,6,Rainy,National Highway,Auto Rickshaw,Wrong Side Driving,Fatal
Andhra Pradesh,Kochi,2021,4,9,Rainy,Rural Road,Auto Rickshaw,Drunk Driving,Minor Injury
Gujarat,Jaipur,2018,10,12,Foggy,State Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Karnataka,Mumbai,2023,10,19,Foggy,National Highway,Bus,Poor Road Condition,Minor Injury
Gujarat,Bengaluru,2018,8,14,Clear,National Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Madhya Pradesh,Mumbai,2022,2,5,Rainy,National Highway,Bus,Signal Jumping,Fatal
Rajasthan,Ahmedabad,2022,5,1,Rainy,National Highway,Two-Wheeler,Poor Road Condition,Grievous Injury
Tamil Nadu,Jaipur,2020,6,3,Cloudy,National Highway,Bus,Signal Jumping,Minor Injury
Uttar Pradesh,Pune,2017,1,20,Cloudy,Rural Road,Truck,Overspeeding,Grievous Injury
Uttar Pradesh,Mumbai,2023,1,13,Cloudy,State Highway,Truck,Drunk Driving,Fatal
Gujarat,Mumbai,2021,9,23,Cloudy,National Highway,Truck,Drunk Driving,Minor Injury
Kerala,Bengaluru,2017,5,14,Foggy,State Highway,Truck,Mechanical Failure,Minor Injury
Maharashtra,Nagpur,2023,4,13,Cloudy,National Highway,Car,Poor Road Condition,Minor Injury
Uttar Pradesh,Pune,2023,1,3,Rainy,Rural Road,Car,Poor Road Condition,Grievous Injury
Kerala,Mumbai,2023,3,5,Clear,Rural Road,Auto Rickshaw,Overspeeding,Fatal
Uttar Pradesh,Bhopal,2023,4,6,Clear,State Highway,Car,Mechanical Failure,Grievous Injury
Kerala,Pune,2017,11,12,Clear,National Highway,Bus,Wrong Side Driving,Grievous Injury
Maharashtra,Bhopal,2020,11,16,Foggy,Rural Road,Bus,Drunk Driving,Grievous Injury
Telangana,Jaipur,2019,5,16,Clear,National Highway,Car,Signal Jumping,Grievous Injury
Uttar Pradesh,Mumbai,2019,10,3,Foggy,National Highway,Bus,Poor Road Condition,Grievous Injury
Madhya Pradesh,Mumbai,2019,12,18,Foggy,Urban Road,Auto Rickshaw,Mechanical Failure,Minor Injury
Tamil Nadu,Chennai,2018,5,19,Clear,Rural Road,Two-Wheeler,Wrong Side Driving,Fatal
